author_date_unix_timestamp,fix,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1448001296.000000,1,1,1,1,0,1,1,168,4,0.001771,17,57,565.705882,18,0,0
1448043080.000000,1,1,1,1,0,1,1,168,4,0.483611,18,58,3.067777,19,0,0
1448044241.000000,0,3,84,1271,10.033289,18402,1067,178.778127,2,8.859975,2259,2711,1.000561,395,1,11.122361
1448055506.000000,1,1,2,2,0.918296,4,2,180,2,-4.436667,15,0.5,0.443651,1,0,0
1448065121.000000,1,1,1,1,0,6,6,168,4,0.255104,19,0,0,0,0,0
1448165613.000000,0,3,3,4,1.642384,63,5,72,4,1.289155,24,60.5,1.559887,36,1,12.738275
1448216426.000000,0,1,1,2,0.918296,3,3,44,3,-14.189606,7,0.5,0.482381,1,0,0
1448257010.000000,0,1,2,6,2.298034,234,153,25.5,4,0.501055,5,65.5,1.332631,42,1,18.485197
1448258288.000000,0,1,1,2,0.896521,102,45,113.5,4,1.490747,14,69.5,1.335402,44,1,2.094329
1448298923.000000,0,1,1,1,0,2,2,161,2,2.947708,3,0,0,0,0,0
1448409678.000000,0,1,1,1,0,1,1,192,4,2.824826,21,0,0,0,0,0
1448422488.000000,0,1,2,4,1.555283,152,14,88.25,4,2.215987,18,72.5,1.253729,48,1,0.193866
1448423659.000000,0,1,2,3,1.521317,53,19,128.666667,4,1.701227,28,76,37.956858,51,1,0.180312
1448424554.000000,0,1,1,1,0,45,9,191,4,0.010359,17,78,97.536313,52,1,0.169954
1448425044.000000,0,1,1,1,0,1,0,192,4,0.177847,22,79,6.622804,21,0,0
1448430158.000000,0,1,3,5,1.623262,248,0,0,3,2.61425,1,82,0.215301,57,1,31.733461
1448430971.000000,0,1,3,3,1.140116,10,3,143,4,0.03103,20,86,13.052234,60,0,0
1448434295.000000,0,1,1,3,1.584963,42,0,27.666667,4,3.744275,5,89,1.1779,7,0,0
1448434361.000000,0,1,2,3,1.512645,20,6,180.666667,4,0.067446,24,92,13.186697,63,1,0.005081
1448434800.000000,1,1,1,1,0,0,2,232,4,0.005081,20,94,197.810934,64,0,0
1448439238.000000,1,1,2,3,1.064453,92,50,155.333333,4,0.096042,36,96,11.738102,67,1,2.848565
1448439345.000000,1,1,1,1,0,78,0,0,1,0,0,98,0,8,1,9.570081
1448470127.000000,0,2,63,310,6.594732,5152,2836,301.212903,2,6.921356,928,3501.5,1.003478,396,1,6.193125
1448476904.000000,0,1,1,1,0,19,0,0,1,0,0,99,0,22,0,0
1448477528.000000,0,1,1,2,0.870864,21,3,9.5,1,0.003611,1,100.5,139.461538,24,1,27.494005
1448481451.000000,0,1,6,11,3.093126,29,50,300,2,0.131065,54,3662,3.094645,3249,1,43.278044
1448482407.000000,1,1,1,1,0,2,2,193,4,0.663924,23,3668,2.506197,19,0,0
1448484789.000000,1,1,1,1,0,1,1,17,1,0.084039,1,102,12.899187,25,0,0
1448495017.000000,0,1,1,1,0,2,1,17,1,0.11838,2,103,9.447399,26,0,0
1448496141.000000,0,1,1,2,0.77935,8,5,19,1,0.114219,5,104.5,5.509741,28,0,0
1448685354.000000,1,1,1,1,0,2,1,170,4,2.848565,5,106,1.351054,68,0,0
1448686096.000000,1,2,2,2,0.315997,34,1,96.5,4,1.178756,24,107.5,1.424176,9,1,6.714167
1448687317.000000,0,1,1,1,0,1,1,24,1,2.212685,3,109,1.45194,30,0,0
1448829484.000000,1,1,1,1,0,1,1,193,4,1.659583,25,0,0,0,0,0
1448864509.000000,0,1,1,1,0,2,2,78,1,4.92088,1,110,1.203216,10,0,0
1448935627.000000,0,1,1,2,0.948078,23,7,20.5,1,3.980301,8,111.5,1.236785,32,1,22.191933
1448945215.000000,0,1,2,2,0.629249,38,0,105.5,4,5.93228,5,113.5,1.126149,70,1,33.640185
1449005213.000000,1,1,40,178,5.806018,6402,4767,374.297753,2,8.755179,633,1441.5,1.003776,1515,1,0.823519
1449006651.000000,0,1,1,1,0,1,1,1,1,24.890891,1,1531,1.040175,0,0,0
1449076365.000000,1,3,16,27,4.046574,715,273,648.148148,2,7.563523,154,3682,1.012115,397,1,5.274479
1449097480.000000,1,4,26,57,4.785874,1923,338,527.684211,2,7.890094,245,1560,1.00664,1,1,0.982662
1449097537.000000,1,1,3,8,1.713256,312,33,465.5,2,19.697591,9,1592.5,1.013794,14,0,0
1449167185.000000,1,2,37,65,5.219132,1051,333,458.246154,2,6.838384,354,1629,1.008088,2,1,0.175891
1449182382.000000,1,3,15,31,4.259136,346,184,660.258065,2,6.336519,129,1677,1.014391,3,1,3.00956
1449194176.000000,1,1,10,33,4.290677,620,51,513.939394,2,8.412112,128,1709,1.106312,1694,1,3.910926
1449205744.000000,0,1,1,1,0,1,0,29,1,3.126354,5,115,1.319861,33,0,0
1449206958.000000,0,1,1,2,0.918296,1,2,29,1,1.577228,11,116.5,36.743349,35,0,0
1449241564.000000,0,1,1,1,0,4,2,33,4,6.429028,1,1,1.155545,0,1,46.597014
1449241723.000000,0,1,1,1,0,4,2,34,4,9.345231,3,2,1.107006,1,1,46.595174
1449243417.000000,1,1,1,1,0,7,8,193,4,4.790891,26,0,0,0,0,0
1449251649.000000,1,2,5,7,1.674993,195,95,923,3,4.615446,43,3699,1.037098,3279,1,98.018576
1449251726.000000,0,2,2,2,0.402179,1,24,12,1,15.281962,3,3703.5,1.034392,1,0,0
1449256612.000000,0,1,1,1,0,0,1,1,1,27.783958,1,3705,1.035992,1,0,0
1449264451.000000,0,1,1,1,0,1,1,258,2,14.122801,3,0,0,0,0,0
1449266200.000000,1,2,2,7,2.795462,8,12,59.428571,4,6.711166,20,4,1.049822,1,0,0
1449274523.000000,0,1,1,1,0,1,1,1,1,0.263854,3,1726,4.789972,1,0,0
1449280190.000000,0,1,1,1,0,10,0,255,4,9.733241,22,3,1.102741,0,1,0.153762
1449280321.000000,0,1,1,1,0,0,1,29,1,0.849109,7,118,2.177705,36,0,0
1449293475.000000,1,1,1,1,0,1,1,265,4,0.153762,23,4,7.503575,1,0,0
1449293711.000000,0,1,1,1,0,1,0,192,4,0.582106,27,0,0,0,0,0
1449294095.000000,0,1,1,1,0,1,0,193,4,0.004444,28,1,226,1,0,0
1449294800.000000,1,1,1,1,0,1,1,194,4,0.00816,29,2,123.553191,2,0,0
1449301137.000000,0,1,1,1,0,21,0,265,4,0.088681,24,119,12.276429,71,0,0
1449301386.000000,0,1,1,1,0,6,0,286,4,0.002882,25,120,347.987952,72,0,0
1449302078.000000,0,1,1,1,0,3,0,292,4,0.008009,26,121,125.855491,73,0,0
1449334836.000000,0,1,1,1,0,9,5,295,4,0.379144,27,3,3.637524,0,0,0
1449335055.000000,0,1,1,1,0,3,0,299,4,0.002535,28,4,395.520548,1,0,0
1449338552.000000,0,1,1,1,0,4,3,302,4,0.040475,29,5,25.706892,2,0,0
1449369821.000000,0,1,1,1,0,15,0,77,4,1.199317,3,122,1.833808,11,0,0
1449377113.000000,0,1,1,1,0,1,1,303,4,0.446308,30,6,3.240606,3,0,0
1449377582.000000,0,1,1,1,0,4,2,303,4,0.005428,31,7,185.221748,4,0,0
1449378419.000000,0,1,1,1,0,42,0,0,1,0,0,8,0,0,1,45.013044
1449378723.000000,0,1,1,1,0,21,0,194,4,0.971331,30,9,2.029515,3,0,0
1449419082.000000,0,2,2,4,1.741102,44,28,14,2,1.015292,14,11.5,1.340339,1,1,16.596389
1449419512.000000,0,2,2,3,1.435371,7,4,24,2,0.004977,11,15,123.790698,3,1,16.591412
1449419554.000000,0,1,1,1,0,29,25,31,2,0.000486,2,17,2058.142857,4,1,0.073079
1449419799.000000,1,1,1,1,0,1,1,33,2,0.003322,10,18,302.045296,7,0,0
1449420646.000000,0,1,1,1,0,1,1,11,2,0.013125,2,19,77.190476,5,0,0
1449425868.000000,1,1,1,1,0,1,1,35,2,0.073079,3,5,14.683877,0,1,16.517847
1449442408.000000,1,1,31,72,5.071831,2877,1367,535.555556,3,11.868035,357,1762.5,1.009098,1766,1,3.088206
